Conservation Unit,Brood Year,rec2,rec3,rec4,rec5,total rec (4+5),effective female spawners,DUID
Kamloops-ES,1993,0,0.000024,0.022386,0.010727,0.033113,0.002934,11
Kamloops-ES,1994,0,0,0.004738,0.022745,0.027483,0.0008,11
Kamloops-ES,1995,0,0.000041,0.022745,0.004484,0.027229,0.000682,11
Kamloops-ES,1996,0,0,0.089315,0.022684,0.111999,0.021381,11
Kamloops-ES,1997,0,0,0.025983,0.025281,0.051264,0.002367,11
Kamloops-ES,1998,0,0.000008,0.004905,0.011325,0.01623,0.003585,11
Kamloops-ES,1999,0,0.000092,0.026426,0.034631,0.061057,0.003499,11
Kamloops-ES,2000,0,0.000053,0.107671,0.007672,0.115343,0.027668,11
Kamloops-ES,2001,0,0,0.079275,0.016425,0.0957,0.016025,11
Kamloops-ES,2002,0,0.000045,0.021369,0.021419,0.042788,0.008402,11
Kamloops-ES,2003,0,0,0.002439,0.00593,0.008369,0.00489,11
Kamloops-ES,2004,0,0.000004,0.039136,0.008951,0.048087,0.003244,11
Kamloops-ES,2005,0,0,0.006515,0.002454,0.008969,0.016967,11
Kamloops-ES,2006,0,0,0.007182,0.009666,0.016848,0.003442,11
