Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
1994,Upper Fraser,Bowron River,,,,,,,,,,,
1995,Upper Fraser,Bowron River,,,,,,,,,,,
1996,Upper Fraser,Bowron River,,,,,,,,,,,
1997,Upper Fraser,Bowron River,,,,,,,,,,,
2005,Upper Fraser,Bowron River,,,,,,,,,,,
2005,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,81,0,40,41,100,41,0,2,
2005,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2005,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
1998,Upper Fraser,Bowron River,,,,,,,,,,,
2000,Upper Fraser,Bowron River,,,,,,,,,,,
1999,Upper Fraser,Bowron River,,,,,,,,,,,
2001,Upper Fraser,Bowron River,,,,,,,,,,,
2002,Upper Fraser,Bowron River,,,,,,,,,,,
2003,Upper Fraser,Bowron River,,,,,,,,,,,
2004,Upper Fraser,Bowron River,,,,,,,,,,,
2004,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,80,0,40,40,100,40,0,2,
2004,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2004,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2006,Upper Fraser,Bowron River,,,,,,,,,,,
2006,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,53,0,29,24,92.16,22,2,2,
2006,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2006,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2008,Upper Fraser,Bowron River,,,,,,,,,,,
2008,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2009,Upper Fraser,Bowron River,,,,,,,,,,,
2009,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,22,0,11,11,93.01,10,1,2,
2009,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2009,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2013,Upper Fraser,Bowron River,,,,,,,,,,,
2013,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,4,0,2,2,99.02,2,0,2,
2013,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2013,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2010,Upper Fraser,Bowron River,,,,,,,,,,,
2010,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,148,0,74,74,97.04,72,2,2,
2010,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2010,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2011,Upper Fraser,Bowron River,,,,,,,,,,,
2011,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,97,0,47,50,97.32,49,1,2,
2011,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2011,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2012,Upper Fraser,Bowron River,,,,,,,,,,,
2012,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2012,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2012,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
