Proposed DU Name,DUID,Year,EFS
Kamloops-ES,11,2004,3244
Kamloops-ES,11,2005,16967
Kamloops-ES,11,2006,3442
Kamloops-ES,11,2007,8064
Kamloops-ES,11,2008,3562
Kamloops-ES,11,2009,6039
Kamloops-ES,11,2010,2389
Kamloops-ES,11,2011,4430
Kamloops-ES,11,2012,1710
Kamloops-ES,11,2013,9045
Kamloops-ES,11,2014,9471
Kamloops-ES,11,2015,8794
Lillooet-Harrison-L,12,1950,41370
Lillooet-Harrison-L,12,1951,13589
Lillooet-Harrison-L,12,1952,24744
Lillooet-Harrison-L,12,1953,16287
Lillooet-Harrison-L,12,1954,8635
Lillooet-Harrison-L,12,1955,8185
Lillooet-Harrison-L,12,1956,27156
Lillooet-Harrison-L,12,1957,7068
Lillooet-Harrison-L,12,1958,5510
Lillooet-Harrison-L,12,1959,11388
Lillooet-Harrison-L,12,1960,19198
Lillooet-Harrison-L,12,1961,10550
Lillooet-Harrison-L,12,1962,14311
Lillooet-Harrison-L,12,1963,20769
Lillooet-Harrison-L,12,1964,27978
Lillooet-Harrison-L,12,1965,9769
Lillooet-Harrison-L,12,1966,13462
Lillooet-Harrison-L,12,1967,17580
Lillooet-Harrison-L,12,1968,31042
Lillooet-Harrison-L,12,1969,14324
Lillooet-Harrison-L,12,1970,19252
Lillooet-Harrison-L,12,1971,16143
Lillooet-Harrison-L,12,1972,26202
Lillooet-Harrison-L,12,1973,28374
Lillooet-Harrison-L,12,1974,85495
Lillooet-Harrison-L,12,1975,19653
Lillooet-Harrison-L,12,1976,50023
Lillooet-Harrison-L,12,1977,12799
Lillooet-Harrison-L,12,1978,48158
Lillooet-Harrison-L,12,1979,35168
Lillooet-Harrison-L,12,1980,32786
Lillooet-Harrison-L,12,1981,27175
Lillooet-Harrison-L,12,1982,72353
Lillooet-Harrison-L,12,1983,21069
Lillooet-Harrison-L,12,1984,23226
Lillooet-Harrison-L,12,1985,5757
Lillooet-Harrison-L,12,1986,197841
Lillooet-Harrison-L,12,1987,89492
Lillooet-Harrison-L,12,1988,75537
Lillooet-Harrison-L,12,1989,15690
Lillooet-Harrison-L,12,1990,97108
Lillooet-Harrison-L,12,1991,152077
Lillooet-Harrison-L,12,1992,93445
Lillooet-Harrison-L,12,1993,151089
Lillooet-Harrison-L,12,1994,22315
Lillooet-Harrison-L,12,1995,18407
Lillooet-Harrison-L,12,1996,27824
Lillooet-Harrison-L,12,1997,23274
Lillooet-Harrison-L,12,1998,172997
Lillooet-Harrison-L,12,1999,26220
Lillooet-Harrison-L,12,2000,8333
Lillooet-Harrison-L,12,2001,28361
Lillooet-Harrison-L,12,2002,NA
Lillooet-Harrison-L,12,2003,152657
Lillooet-Harrison-L,12,2004,17516
Lillooet-Harrison-L,12,2005,27117
Lillooet-Harrison-L,12,2006,137365
Lillooet-Harrison-L,12,2007,54290
Lillooet-Harrison-L,12,2008,6788
Lillooet-Harrison-L,12,2009,34475
Lillooet-Harrison-L,12,2010,67762
Lillooet-Harrison-L,12,2011,92420
Lillooet-Harrison-L,12,2012,2505
Lillooet-Harrison-L,12,2013,46794
Lillooet-Harrison-L,12,2014,19610
Lillooet-Harrison-L,12,2015,26687
Nadina-Francois-ES,8,1950,1254
Nadina-Francois-ES,8,1951,130
Nadina-Francois-ES,8,1952,498
Nadina-Francois-ES,8,1953,18382
Nadina-Francois-ES,8,1954,1219
Nadina-Francois-ES,8,1955,141
Nadina-Francois-ES,8,1956,729
Nadina-Francois-ES,8,1957,28364
Nadina-Francois-ES,8,1958,388
Nadina-Francois-ES,8,1959,624
Nadina-Francois-ES,8,1960,938
Nadina-Francois-ES,8,1961,9842
Nadina-Francois-ES,8,1962,1173
